Compound 1;Compound 2;Compound 3;Molar Fraction 1;Molar Fraction 2;Molar Fraction 3;Property;Property Name;Standard Deviation Viscosity;Parameter;Type;Storage;Comment
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;50,20404;Polarity;0,187004;14;Time;fridge;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;49,59414;Polarity;0,06083;39;Time;fridge;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;49,04348;Polarity;0,475869;7;Time;open;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;49,63775;Polarity;0,243744;14;Time;open;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;49,38011;Polarity;0,120611;40;Time;open;ChCl-EG (1:2)_40% H2O
Betaine;Glycerol;Water;0,333;0,667;0;2175,53;Viscosity;263,1182;0;Time;none;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;2186,05;Viscosity;286,1922;7;Time;closed;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;2289,21;Viscosity;230,3679;14;Time;closed;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;2006,05;Viscosity;319,6867;38;Time;closed;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;2275,53;Viscosity;187,9415;7;Time;fridge;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;2325;Viscosity;85,22498;14;Time;fridge;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;2296,58;Viscosity;126,1627;38;Time;fridge;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;1862,89;Viscosity;17,49159;7;Time;open;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;2075,53;Viscosity;28,65643;14;Time;open;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;1676,58;Viscosity;59,17367;40;Time;open;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;50,20373;Polarity;0,062334;0;Time;none;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;51,28468;Polarity;0,195141;7;Time;closed;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;51,79597;Polarity;0,265401;14;Time;closed;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;51,7018;Polarity;0,132219;38;Time;closed;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;52,08264;Polarity;0,67082;7;Time;fridge;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;51,98381;Polarity;0,133666;14;Time;fridge;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;51,51548;Polarity;0,131268;39;Time;fridge;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;51,6083;Polarity;0;7;Time;open;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;51,42266;Polarity;0;14;Time;open;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,333;0,667;0;51,7488;Polarity;0,198689;40;Time;open;Bet-Gly (1:2)_0% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;61,87;Viscosity;0,011165;0;Time;none;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;59,22;Viscosity;0,264235;7;Time;closed;Bet-Gly (1:2)_20% H2O
