Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
3.452,172.6,0.502512563,0.25436409,295.65,10.1016/j.jct.2018.07.031
2.956,147.8,0.502512563,0.25436409,298.15,10.1016/j.jct.2018.07.031
2.56,128,0.502512563,0.25436409,300.65,10.1016/j.jct.2018.07.031
2.226,111.3,0.502512563,0.25436409,303.15,10.1016/j.jct.2018.07.031
1.9426,97.13,0.502512563,0.25436409,305.65,10.1016/j.jct.2018.07.031
1.705,85.25,0.502512563,0.25436409,308.15,10.1016/j.jct.2018.07.031
1.5028,75.14,0.502512563,0.25436409,310.65,10.1016/j.jct.2018.07.031
1.3296,66.48,0.502512563,0.25436409,313.15,10.1016/j.jct.2018.07.031
1.1802,59.01,0.502512563,0.25436409,315.65,10.1016/j.jct.2018.07.031
1.0522,52.61,0.502512563,0.25436409,318.15,10.1016/j.jct.2018.07.031
0.9424,47.12,0.502512563,0.25436409,320.65,10.1016/j.jct.2018.07.031
0.8496,42.48,0.502512563,0.25436409,323.15,10.1016/j.jct.2018.07.031
0.7656,38.28,0.502512563,0.25436409,325.65,10.1016/j.jct.2018.07.031
0.6932,34.66,0.502512563,0.25436409,328.15,10.1016/j.jct.2018.07.031
0.6294,31.47,0.502512563,0.25436409,330.65,10.1016/j.jct.2018.07.031
0.5732,28.66,0.502512563,0.25436409,333.15,10.1016/j.jct.2018.07.031
0.5228,26.14,0.502512563,0.25436409,335.65,10.1016/j.jct.2018.07.031
0.4788,23.94,0.502512563,0.25436409,338.15,10.1016/j.jct.2018.07.031
30.22,1511,0.5,0,278.15,10.1016/j.jct.2018.07.031
24.22,1211,0.5,0,280.65,10.1016/j.jct.2018.07.031
19.648,982.4,0.5,0,283.15,10.1016/j.jct.2018.07.031
16.03,801.5,0.5,0,285.65,10.1016/j.jct.2018.07.031
13.168,658.4,0.5,0,288.15,10.1016/j.jct.2018.07.031
10.874,543.7,0.5,0,290.65,10.1016/j.jct.2018.07.031
9.052,452.6,0.5,0,293.15,10.1016/j.jct.2018.07.031
7.57,378.5,0.5,0,295.65,10.1016/j.jct.2018.07.031
6.394,319.7,0.5,0,298.15,10.1016/j.jct.2018.07.031
5.428,271.4,0.5,0,300.65,10.1016/j.jct.2018.07.031
4.642,232.1,0.5,0,303.15,10.1016/j.jct.2018.07.031
3.98,199,0.5,0,305.65,10.1016/j.jct.2018.07.031
3.432,171.6,0.5,0,308.15,10.1016/j.jct.2018.07.031
