fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,mole_fraction_Water,composition_temp_id,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,marker,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0008822,4.411e-06,353.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",6f967728-4703-4cb6-a9be-08d43f03ab6c,10.1016/j.fluid.2014.01.028,0.9007,353.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, '6f967728-4703-4cb6-a9be-08d43f03ab6c')",0.0008822,4.411e-06,0.9007000000000001,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0038894000000000003,1.9447e-05,283.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",9e043106-1b0f-4bb0-8adb-e210bf9cbc2d,10.1016/j.fluid.2014.01.028,0.9007,283.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, '9e043106-1b0f-4bb0-8adb-e210bf9cbc2d')",0.0038894000000000003,1.9447e-05,0.9007000000000001,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.004351600000000001,2.1758e-05,293.15,"[0.047533333333, 0.095066666667, 0.8574]",87f1c3f1-9b13-404d-ae9d-491f23b3d141,10.1016/j.fluid.2014.01.028,0.8574,293.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, '87f1c3f1-9b13-404d-ae9d-491f23b3d141')",0.004351600000000001,2.1758e-05,0.8574,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0060668,3.0334e-05,283.15,"[0.047533333333, 0.095066666667, 0.8574]",102f4943-24d9-42f6-9f7c-08850ddc70e3,10.1016/j.fluid.2014.01.028,0.8574,283.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, '102f4943-24d9-42f6-9f7c-08850ddc70e3')",0.0060668,3.0334e-05,0.8574,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0032576000000000003,1.6288e-05,303.15,"[0.047533333333, 0.095066666667, 0.8574]",27794f99-06f8-4118-ab1e-c1cfa23f3711,10.1016/j.fluid.2014.01.028,0.8574,303.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, '27794f99-06f8-4118-ab1e-c1cfa23f3711')",0.0032576000000000003,1.6288e-05,0.8574,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0013842000000000001,6.921e-06,343.15,"[0.047533333333, 0.095066666667, 0.8574]",de7f69d7-25fb-454a-a99f-1296e5142369,10.1016/j.fluid.2014.01.028,0.8574,343.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 343.15, 'de7f69d7-25fb-454a-a99f-1296e5142369')",0.0013842000000000001,6.921e-06,0.8574,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0016547,8.2735e-06,333.15,"[0.047533333333, 0.095066666667, 0.8574]",d9734234-f219-4218-8882-078c50865f3c,10.1016/j.fluid.2014.01.028,0.8574,333.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, 'd9734234-f219-4218-8882-078c50865f3c')",0.0016547,8.2735e-06,0.8574,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0020196,1.0097999999999999e-05,323.15,"[0.047533333333, 0.095066666667, 0.8574]",7f0cc72f-a99f-4295-ac72-ec7d275812da,10.1016/j.fluid.2014.01.028,0.8574,323.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, '7f0cc72f-a99f-4295-ac72-ec7d275812da')",0.0020196,1.0097999999999999e-05,0.8574,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0025277,1.2638500000000001e-05,313.15,"[0.047533333333, 0.095066666667, 0.8574]",8e39bf99-39fb-4bb3-b7e8-167e69375c29,10.1016/j.fluid.2014.01.028,0.8574,313.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, '8e39bf99-39fb-4bb3-b7e8-167e69375c29')",0.0025277,1.2638500000000001e-05,0.8574,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0011855,5.9274999999999996e-06,353.15,"[0.047533333333, 0.095066666667, 0.8574]",76970955-dd14-45d7-a279-f5676789560a,10.1016/j.fluid.2014.01.028,0.8574,353.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, '76970955-dd14-45d7-a279-f5676789560a')",0.0011855,5.9274999999999996e-06,0.8574,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0010262,5.1310000000000005e-06,363.15,"[0.047533333333, 0.095066666667, 0.8574]",4ee6669b-c824-43cb-883c-3824fbff0819,10.1016/j.fluid.2014.01.028,0.8574,363.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 363.15, '4ee6669b-c824-43cb-883c-3824fbff0819')",0.0010262,5.1310000000000005e-06,0.8574,#3185fc,s,measured
