fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,mole_fraction_Water,composition_temp_id,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,marker,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0007359,3.6795e-06,343.15,"[0.022166666667, 0.044333333333, 0.9335]",2e577095-ece7-4e1f-8446-364be1480342,10.1016/j.fluid.2014.01.028,0.9335,343.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 343.15, '2e577095-ece7-4e1f-8446-364be1480342')",0.0007359,3.6795e-06,0.9335,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0015742,7.871e-06,303.15,"[0.022166666667, 0.044333333333, 0.9335]",1c501cb4-a3d9-416e-a34d-d6d7ac7681f7,10.1016/j.fluid.2014.01.028,0.9335,303.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, '1c501cb4-a3d9-416e-a34d-d6d7ac7681f7')",0.0015742,7.871e-06,0.9335,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0010444,5.222e-06,323.15,"[0.022166666667, 0.044333333333, 0.9335]",26c54ad1-c0c4-4a51-adb2-d93dcb273198,10.1016/j.fluid.2014.01.028,0.9335,323.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, '26c54ad1-c0c4-4a51-adb2-d93dcb273198')",0.0010444,5.222e-06,0.9335,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0026941,1.34705e-05,283.15,"[0.022166666667, 0.044333333333, 0.9335]",d9f30341-ff04-4cb5-9941-cbac94a84b23,10.1016/j.fluid.2014.01.028,0.9335,283.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, 'd9f30341-ff04-4cb5-9941-cbac94a84b23')",0.0026941,1.34705e-05,0.9335,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0007702,3.851e-06,363.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",edc850bc-899f-4852-a335-2b086011eb9f,10.1016/j.fluid.2014.01.028,0.9007,363.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 363.15, 'edc850bc-899f-4852-a335-2b086011eb9f')",0.0007702,3.851e-06,0.9007000000000001,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0028657,1.4328499999999998e-05,293.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",7629228c-17f3-4d32-a5a2-98a918ad455d,10.1016/j.fluid.2014.01.028,0.9007,293.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, '7629228c-17f3-4d32-a5a2-98a918ad455d')",0.0028657,1.4328499999999998e-05,0.9007000000000001,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0017433000000000001,8.7165e-06,313.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",7bd89b24-e91f-45b4-9fe3-4f538ac0adb7,10.1016/j.fluid.2014.01.028,0.9007,313.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, '7bd89b24-e91f-45b4-9fe3-4f538ac0adb7')",0.0017433000000000001,8.7165e-06,0.9007000000000001,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0021977000000000003,1.09885e-05,303.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",b9bba5ee-5ce5-4918-bad8-a99fb3e4067f,10.1016/j.fluid.2014.01.028,0.9007,303.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, 'b9bba5ee-5ce5-4918-bad8-a99fb3e4067f')",0.0021977000000000003,1.09885e-05,0.9007000000000001,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0014169,7.0845e-06,323.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",1402a378-f087-4f46-9be1-cba129ee2e52,10.1016/j.fluid.2014.01.028,0.9007,323.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, '1402a378-f087-4f46-9be1-cba129ee2e52')",0.0014169,7.0845e-06,0.9007000000000001,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0011824,5.9119999999999995e-06,333.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",2c37e020-6b8d-4540-bcf8-33221ecac2ad,10.1016/j.fluid.2014.01.028,0.9007,333.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, '2c37e020-6b8d-4540-bcf8-33221ecac2ad')",0.0011824,5.9119999999999995e-06,0.9007000000000001,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.001004,5.02e-06,343.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",88a22a9c-ad01-4984-978d-35fb2e7e3ff6,10.1016/j.fluid.2014.01.028,0.9007,343.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 343.15, '88a22a9c-ad01-4984-978d-35fb2e7e3ff6')",0.001004,5.02e-06,0.9007000000000001,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0008822,4.411e-06,353.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",b06dda70-3258-48f6-a270-bed6690ec13b,10.1016/j.fluid.2014.01.028,0.9007,353.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, 'b06dda70-3258-48f6-a270-bed6690ec13b')",0.0008822,4.411e-06,0.9007000000000001,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0038894000000000003,1.9447e-05,283.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",2368a20d-8b0e-421f-b869-285e48d70f6b,10.1016/j.fluid.2014.01.028,0.9007,283.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, '2368a20d-8b0e-421f-b869-285e48d70f6b')",0.0038894000000000003,1.9447e-05,0.9007000000000001,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.004351600000000001,2.1758e-05,293.15,"[0.047533333333, 0.095066666667, 0.8574]",b493331b-dccb-4c0e-8953-33e93fc1e74c,10.1016/j.fluid.2014.01.028,0.8574,293.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, 'b493331b-dccb-4c0e-8953-33e93fc1e74c')",0.004351600000000001,2.1758e-05,0.8574,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0060668,3.0334e-05,283.15,"[0.047533333333, 0.095066666667, 0.8574]",daf85f7d-d27c-4284-9cd4-6b233190dfe3,10.1016/j.fluid.2014.01.028,0.8574,283.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, 'daf85f7d-d27c-4284-9cd4-6b233190dfe3')",0.0060668,3.0334e-05,0.8574,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0032576000000000003,1.6288e-05,303.15,"[0.047533333333, 0.095066666667, 0.8574]",434a632a-167e-4567-ab21-08e7e167ed27,10.1016/j.fluid.2014.01.028,0.8574,303.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, '434a632a-167e-4567-ab21-08e7e167ed27')",0.0032576000000000003,1.6288e-05,0.8574,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0013842000000000001,6.921e-06,343.15,"[0.047533333333, 0.095066666667, 0.8574]",3518a87d-4626-46af-97ba-d756cf7ca561,10.1016/j.fluid.2014.01.028,0.8574,343.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 343.15, '3518a87d-4626-46af-97ba-d756cf7ca561')",0.0013842000000000001,6.921e-06,0.8574,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0016547,8.2735e-06,333.15,"[0.047533333333, 0.095066666667, 0.8574]",eef31a4c-46df-403a-9c2e-355a2e20faea,10.1016/j.fluid.2014.01.028,0.8574,333.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, 'eef31a4c-46df-403a-9c2e-355a2e20faea')",0.0016547,8.2735e-06,0.8574,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0020196,1.0097999999999999e-05,323.15,"[0.047533333333, 0.095066666667, 0.8574]",535b7086-1ad0-49ed-960f-c2cf39a939dd,10.1016/j.fluid.2014.01.028,0.8574,323.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, '535b7086-1ad0-49ed-960f-c2cf39a939dd')",0.0020196,1.0097999999999999e-05,0.8574,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0025277,1.2638500000000001e-05,313.15,"[0.047533333333, 0.095066666667, 0.8574]",c2e20ab2-b22e-45d3-96f3-eaca292f3c83,10.1016/j.fluid.2014.01.028,0.8574,313.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, 'c2e20ab2-b22e-45d3-96f3-eaca292f3c83')",0.0025277,1.2638500000000001e-05,0.8574,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0011855,5.9274999999999996e-06,353.15,"[0.047533333333, 0.095066666667, 0.8574]",48718462-2e73-43ee-af02-24ba6a04c541,10.1016/j.fluid.2014.01.028,0.8574,353.15,2.0,Document_1,"(0.048, 0.095, 0.857)",0.048,0.095,0.857,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, '48718462-2e73-43ee-af02-24ba6a04c541')",0.0011855,5.9274999999999996e-06,0.8574,0.7142857142857144,s,measured
